course_code,year,title,credit_points_min,credit_points_max,terms_offered,prereq_codes,incompatibility_codes,academic_career,mode_of_delivery,url
PHYS1001,2014,Foundations of Physics,6,6,S1,,PHYS1101|PHYS1201,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1001
PHYS1001,2015,Foundations of Physics,6,6,S1,,PHYS1101|PHYS1201,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1001
PHYS1001,2016,Foundations of Physics,6,6,S1,,PHYS1101|PHYS1201,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1001
PHYS1001,2017,Foundations of Physics,6,6,S1,,PHYS1101|PHYS1201,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1001
PHYS1001,2018,Foundations of Physics,6,6,S1,,PHYS1101|PHYS1201,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1001
PHYS1001,2019,Foundations of Physics,6,6,S1,,PHYS1101|PHYS1201,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1001
PHYS1001,2020,Foundations of Physics,6,6,S1,,PHYS1101|PHYS1201,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1001
PHYS1001,2021,Foundations of Physics,6,6,S1,,PHYS1101|PHYS1201,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1001
PHYS1001,2022,Foundations of Physics,6,6,S1,,PHYS1101|PHYS1201,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1001
PHYS1001,2023,Foundations of Physics,6,6,S1,,PHYS1101|PHYS1201,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1001
PHYS1001,2024,Foundations of Physics,6,6,S1,,PHYS1101|PHYS1201,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1001
PHYS1001,2025,Foundations of Physics,6,6,S1,,PHYS1101|PHYS1201,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1001
PHYS1001,2026,Foundations of Physics,6,6,S1,,PHYS1101|PHYS1201,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1001
PHYS1001,2027,Foundations of Physics,6,6,S1,,PHYS1101|PHYS1201,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1001
PHYS1101,2014,Physics 1,6,6,S1|S2,MATH1013|MATH1115,,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1101
PHYS1101,2015,Physics 1,6,6,S1|S2,MATH1013|MATH1115,,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1101
PHYS1101,2016,Physics 1,6,6,S1|S2,MATH1013|MATH1115,,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1101
PHYS1101,2017,Physics 1,6,6,S1|S2,MATH1013|MATH1115,,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1101
PHYS1101,2018,Physics 1,6,6,S1|S2,MATH1013|MATH1115,,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1101
PHYS1101,2019,Physics 1,6,6,S1|S2,MATH1013|MATH1115,,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1101
PHYS1101,2020,Physics 1,6,6,S1|S2,MATH1013|MATH1115,,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1101
PHYS1101,2021,Physics 1,6,6,S1|S2,MATH1013|MATH1115,,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1101
PHYS1101,2022,Physics 1,6,6,S1|S2,MATH1013|MATH1115,,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1101
PHYS1101,2023,Physics 1,6,6,S1|S2,MATH1013|MATH1115,,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1101
PHYS1101,2024,Physics 1,6,6,S1|S2,MATH1013|MATH1115,,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1101
PHYS1101,2025,Physics 1,6,6,S1|S2,MATH1013|MATH1115,,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1101
PHYS1101,2026,Physics 1,6,6,S1|S2,MATH1013|MATH1115,,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1101
PHYS1101,2027,Physics 1,6,6,S1|S2,MATH1013|MATH1115,,UGRD,In Person,https://programsandcourses.anu.edu.au/course/phys1101
BIOL3178,2020,Recovering Threatened Species and Ecosystems,6,6,S1,BIOL2131|BIOL2114|BIOL2151|ENVS2001|BIOL2202|ENVS1003,,UGRD,In Person,https://programsandcourses.anu.edu.au/2020/course/BIOL3178
BIOL3178,2021,Recovering Threatened Species and Ecosystems,6,6,S1,BIOL2131|BIOL2114|BIOL2151|ENVS2001|BIOL2202|ENVS1003,,UGRD,In Person,https://programsandcourses.anu.edu.au/2021/course/BIOL3178
BIOL3178,2022,Recovering Threatened Species and Ecosystems,6,6,S1,BIOL2131|BIOL2114|BIOL2151|ENVS2001|BIOL2001|BIOL2202|ENVS1003,BIOL6178,UGRD,In Person,https://programsandcourses.anu.edu.au/2022/course/BIOL3178
BIOL3178,2023,Recovering Threatened Species and Ecosystems,6,6,S1,BIOL2131|BIOL2114|BIOL2151|ENVS2001|BIOL2001|BIOL2202|ENVS1003,BIOL6178,UGRD,In Person,https://programsandcourses.anu.edu.au/2023/course/BIOL3178
